# The packed payload, from packages/transport/src/pack.ts, decoded by wire/src/pack.rs.
# One case a line: <why> | <rgb hex> | <packed hex>. Regenerate both sides together.
nothing at all |  | 0000
one dark pixel | 000000 | 00030000
one white pixel | ffffff | 00032000
1 px of a ramp | 000102 | 00030110
2 px of a ramp | 000102030405 | 0006054545
3 px of a ramp | 000102030405060708 | 0009055a55a550
4 px of a ramp | 000102030405060708090a0b | 000c0555ff8555ff8555
5 px of a ramp | 000102030405060708090a0b0c0d0e | 000f05555ff55555ff555550
6 px of a ramp | 000102030405060708090a0b0c0d0e0f1011 | 0012055555ff255555ff255555
7 px of a ramp | 000102030405060708090a0b0c0d0e0f1011121314 | 00150555555fef555555fef5555550
8 px of a ramp | 000102030405060708090a0b0c0d0e0f1011121314151617 | 001805555555fec5555555fec5555555
a run of 2 | 090000090000090000c80000c80000c80000 | 0012f0900fbf00f38d80
a run of 3 | 090000090000090000090000c80000c80000c80000 | 0015f09d0fbf00f38da0
a run of 4 | 090000090000090000090000090000c80000c80000c80000 | 0018f09d1fbf00f38dc0
a run of 17 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000c80000c80000c80000 | 003ff09defbf00f38e16
a run of 18 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000c80000c80000c80000 | 0042f09dffbf00f38e18
a run of 19 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000c80000c80000c80000 | 0045f09e00fbf00f38e1a0
a run of 20 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000c80000c80000c80000 | 0048f09e01fbf00f38e1c0
a run of 273 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000 | 0168f09e64ff7edc
a run of 274 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000 | 0168f09e64ff7edc
a run of 275 | 090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000090000 | 0168f09e64ff7edc
a run across the plane seams | 070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707070707 | 0078f07e64
dark but for the last blue | 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005 | 00780e6390
steps of 1 | 000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f4041424344454647 | 0048055555555555555555555555fbc55555555555555555555555fbc55555555555555555555555
